Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,engagement_rate,viral
Post_404,Instagram,#Education,Live Stream,UK,1924813,188326,41895,37760,Medium,13.9224,0
Post_406,Instagram,#Education,Live Stream,Canada,166638,52495,86474,5523,Low,86.7101,1
Post_408,Instagram,#Viral,Shorts,Brazil,908633,408446,85164,12149,High,55.6615,1
Post_419,Instagram,#Education,Post,Brazil,446706,4264,75452,14816,High,21.162,0
Post_420,Instagram,#Fitness,Live Stream,UK,951304,342048,65047,35490,Medium,46.524,1
Post_423,Instagram,#Comedy,Tweet,UK,3592472,80185,16999,48101,Medium,4.0442,0
Post_424,Instagram,#Challenge,Live Stream,Canada,3592674,160629,8445,9171,Medium,4.9613,0
Post_427,Instagram,#Education,Shorts,Australia,4686957,109616,68468,40709,Medium,4.6681,0
Post_432,Instagram,#Viral,Video,Japan,2573525,244672,62989,24852,Low,12.9205,0
Post_433,Instagram,#Music,Video,Germany,693490,271218,30947,20950,Medium,46.5926,1
Post_434,Instagram,#Gaming,Shorts,Germany,1190294,180949,16220,16017,Medium,17.9104,0
Post_435,Instagram,#Gaming,Video,Germany,1646518,98332,62494,12314,High,10.5155,0
Post_447,Instagram,#Gaming,Live Stream,India,3335657,417475,40236,4254,Low,13.8493,0
Post_454,Instagram,#Education,Shorts,Canada,2388920,44750,78711,21652,Low,6.0744,0
Post_459,Instagram,#Viral,Shorts,Brazil,3848863,404283,78130,41057,Low,13.6006,0
Post_463,Instagram,#Dance,Shorts,India,1926503,103365,58675,33276,High,10.1384,0
Post_464,Instagram,#Challenge,Live Stream,UK,2167670,198784,96952,26902,Medium,14.8841,0
Post_465,Instagram,#Fashion,Video,Germany,1083140,309982,34255,33816,High,34.9034,0
Post_466,Instagram,#Fashion,Post,UK,4398342,308054,29831,3366,Medium,7.7586,0
Post_470,Instagram,#Viral,Live Stream,UK,275149,149844,9065,35899,Medium,70.8009,1
Post_475,Instagram,#Challenge,Live Stream,USA,1137375,118437,23946,24358,High,14.6602,0
Post_478,Instagram,#Fashion,Video,UK,2984034,227827,65757,27104,High,10.7468,0
Post_480,Instagram,#Music,Shorts,Brazil,3683276,428789,65984,5073,High,13.5707,0
Post_481,Instagram,#Dance,Shorts,UK,2836012,183713,10028,21436,Medium,7.5873,0
Post_483,Instagram,#Tech,Live Stream,UK,2682414,401508,59012,3275,High,17.2902,0
Post_488,Instagram,#Dance,Post,USA,4533957,278567,60593,12923,Medium,7.7655,0
Post_490,Instagram,#Gaming,Tweet,USA,1296124,435551,48934,49483,High,41.1973,1
Post_498,Instagram,#Education,Tweet,Australia,3979197,313528,22858,39951,High,9.4576,0
Post_501,Instagram,#Dance,Reel,UK,1576695,223136,3427,44738,High,17.2069,0
Post_503,Instagram,#Fashion,Live Stream,Canada,3419646,34941,95591,9327,Medium,4.0899,0
Post_513,Instagram,#Viral,Live Stream,USA,3237254,173375,36718,42896,High,7.8149,0
Post_514,Instagram,#Dance,Post,USA,4197833,175063,73833,25225,Low,6.5301,0
Post_515,Instagram,#Education,Post,Germany,514956,250127,90852,5413,Low,67.2663,1
Post_533,Instagram,#Comedy,Shorts,India,4854685,134680,43340,2898,High,3.7267,0
Post_539,Instagram,#Education,Video,UK,3713005,184413,88201,49856,Medium,8.6849,0
Post_544,Instagram,#Comedy,Post,Brazil,4117289,476795,23810,7602,Low,12.3432,0
Post_546,Instagram,#Fitness,Live Stream,USA,2359516,394171,34790,26112,High,19.2867,0
Post_547,Instagram,#Viral,Post,Japan,3647993,361442,26848,22650,High,11.2648,0
Post_551,Instagram,#Challenge,Live Stream,UK,4902801,457202,95950,35485,Medium,12.0061,0
Post_557,Instagram,#Fitness,Post,Germany,129205,493844,93705,39629,High,485.4131,1
Post_566,Instagram,#Viral,Video,Germany,90504,10397,53914,41748,High,117.1871,1
Post_568,Instagram,#Tech,Video,UK,1357187,35801,70630,1191,High,7.9298,0
Post_571,Instagram,#Fashion,Live Stream,Germany,1211898,301141,73729,34908,High,33.8129,0
Post_575,Instagram,#Dance,Reel,Canada,4694304,15155,48834,46703,Low,2.358,0
Post_578,Instagram,#Fashion,Post,Canada,2126836,135067,2582,34647,Medium,8.101,0
Post_587,Instagram,#Education,Post,Germany,3839951,182675,74863,44718,High,7.8714,0
Post_591,Instagram,#Comedy,Reel,Brazil,2002817,410588,47199,47032,Medium,25.2054,0
Post_598,Instagram,#Dance,Video,India,3469085,404702,36285,25629,Medium,13.4507,0
Post_599,Instagram,#Music,Video,Australia,2594914,369883,17225,14583,High,15.4799,0
Post_601,Instagram,#Education,Tweet,Brazil,3329289,462737,18302,45849,High,15.8258,0
Post_603,Instagram,#Education,Tweet,Germany,3177760,71183,55349,7595,Low,4.2208,0
Post_605,Instagram,#Fashion,Tweet,India,3660613,40261,23562,5633,High,1.8974,0
Post_613,Instagram,#Gaming,Live Stream,Australia,2912021,43497,37791,33220,Low,3.9323,0
Post_617,Instagram,#Comedy,Shorts,Brazil,201259,367757,67851,45250,Medium,238.925,1
Post_618,Instagram,#Gaming,Post,Canada,3053227,132150,49242,48892,High,7.5423,0
Post_619,Instagram,#Comedy,Reel,Canada,3118393,322469,26532,6589,Low,11.403,0
Post_621,Instagram,#Dance,Reel,India,165577,133518,14606,30419,Medium,107.8308,1
Post_630,Instagram,#Challenge,Video,USA,3423533,418109,14637,33581,High,13.6212,0
Post_636,Instagram,#Music,Shorts,India,2696673,362090,41445,36790,Low,16.3285,0
Post_638,Instagram,#Tech,Shorts,UK,1054049,117855,67726,591,Medium,17.6626,0
Post_641,Instagram,#Music,Post,Germany,4892331,362512,17927,27598,High,8.3403,0
Post_642,Instagram,#Fashion,Live Stream,Japan,1525908,329931,54223,25867,Low,26.8706,0
Post_643,Instagram,#Music,Video,Japan,856528,312624,35540,22068,Medium,43.2247,1
Post_644,Instagram,#Fashion,Post,UK,3223480,57651,25366,32746,High,3.5912,0
Post_650,Instagram,#Gaming,Shorts,Brazil,2941067,289340,10029,28904,Medium,11.1617,0
Post_652,Instagram,#Comedy,Tweet,India,1161779,21780,4078,38033,Medium,5.4994,0
Post_659,Instagram,#Fashion,Post,Germany,2231843,28171,73427,16948,Medium,5.3116,0
Post_662,Instagram,#Dance,Post,Germany,1156532,111161,31021,33505,Low,15.1908,0
Post_665,Instagram,#Gaming,Shorts,USA,403838,145096,88439,14064,Medium,61.3115,1
Post_670,Instagram,#Tech,Tweet,Australia,3428187,328693,57651,18330,High,11.8043,0
Post_678,Instagram,#Fashion,Post,Japan,4446628,475059,19789,42455,High,12.0834,0
Post_679,Instagram,#Music,Post,Brazil,3951368,249468,17548,43162,High,7.8499,0
Post_680,Instagram,#Tech,Video,Brazil,1904069,426897,58669,35210,High,27.3507,0
Post_683,Instagram,#Music,Reel,UK,2754301,439047,21451,5036,High,16.9021,0
Post_685,Instagram,#Fitness,Reel,Australia,3471793,286422,67665,17667,Medium,10.7078,0
Post_688,Instagram,#Comedy,Live Stream,India,4827016,404958,45968,18554,Medium,9.7261,0
Post_690,Instagram,#Tech,Live Stream,Australia,490952,347826,72833,14756,Low,88.6879,1
Post_691,Instagram,#Music,Post,Canada,2180014,59373,52726,17442,Low,5.9422,0
Post_693,Instagram,#Dance,Shorts,USA,3761264,443176,12191,48340,Medium,13.392,0
Post_694,Instagram,#Comedy,Video,Canada,1038860,442713,28298,40618,Medium,49.2491,1
Post_695,Instagram,#Dance,Live Stream,Germany,3444824,395141,90673,32852,Medium,15.0564,0
Post_698,Instagram,#Gaming,Video,UK,4913774,12582,38213,46700,Medium,1.9841,0
Post_705,Instagram,#Tech,Shorts,Australia,1180913,389245,42150,40241,Medium,39.9383,1
Post_710,Instagram,#Gaming,Shorts,UK,3300636,334680,8400,33207,High,11.4004,0
Post_712,Instagram,#Fashion,Live Stream,Japan,474320,437976,64949,13571,High,108.8919,1
Post_716,Instagram,#Challenge,Post,USA,1301582,36572,45582,45435,Low,9.8026,0
Post_723,Instagram,#Music,Live Stream,USA,1780899,301959,74275,6214,High,21.475,0
Post_728,Instagram,#Music,Shorts,Japan,898563,298465,57845,44877,Medium,44.6476,1
Post_730,Instagram,#Comedy,Shorts,Australia,2411448,166605,3962,42255,High,8.8255,0
Post_737,Instagram,#Fashion,Video,UK,2729253,430030,34573,45325,High,18.6838,0
Post_738,Instagram,#Music,Shorts,India,3287384,381894,81089,14284,Medium,14.5181,0
Post_741,Instagram,#Dance,Shorts,India,1418058,404349,98335,45229,Low,38.6383,0
Post_747,Instagram,#Comedy,Tweet,USA,1219230,350006,94280,32133,Medium,39.0754,0
Post_757,Instagram,#Fitness,Post,Japan,1492331,319292,58566,8303,Medium,25.8764,0
Post_758,Instagram,#Comedy,Shorts,UK,4522021,494856,7995,29137,High,11.7644,0
Post_759,Instagram,#Challenge,Tweet,USA,845352,425767,96744,44548,High,67.0796,1
Post_761,Instagram,#Tech,Reel,Australia,4975026,113245,73842,39396,Medium,4.5524,0
Post_762,Instagram,#Education,Tweet,Brazil,407083,378368,12296,17307,Low,100.2181,1
Post_768,Instagram,#Comedy,Reel,Brazil,1900224,443095,32294,12162,Medium,25.6576,0
Post_773,Instagram,#Challenge,Shorts,Japan,282212,325960,23903,6061,Low,126.1194,1
Post_774,Instagram,#Viral,Tweet,Australia,3827339,405141,10660,18414,High,11.3451,0
Post_775,Instagram,#Education,Shorts,Australia,3200135,357852,8303,1186,Low,11.4789,0
Post_781,Instagram,#Dance,Post,Japan,2392740,416629,25611,32521,Low,19.8417,0
Post_784,Instagram,#Education,Live Stream,Australia,1050122,497180,25187,19816,Low,51.6305,1
Post_796,Instagram,#Fitness,Shorts,UK,4490630,166824,45589,4926,Low,4.8398,0
Post_797,Instagram,#Challenge,Post,Australia,2809655,296700,36554,5867,Low,12.0698,0
Post_798,Instagram,#Comedy,Post,India,3538605,454950,72220,19322,Low,15.4437,0
Post_801,Instagram,#Dance,Reel,Canada,34258,99120,37011,3149,High,406.562,1
Post_802,Instagram,#Gaming,Video,UK,1037736,375246,34403,29942,Low,42.3606,1
Post_807,Instagram,#Gaming,Reel,Japan,1230975,481442,80512,3147,Low,45.9068,1
Post_813,Instagram,#Fitness,Post,Australia,998555,225198,8583,34716,Low,26.8886,0
Post_814,Instagram,#Dance,Video,India,4214277,491365,16797,37101,Medium,12.9385,0
Post_817,Instagram,#Gaming,Reel,India,591094,112899,37633,24431,High,29.5999,0
Post_819,Instagram,#Fitness,Live Stream,Japan,1365802,451503,91330,25121,Low,41.5839,1
Post_821,Instagram,#Education,Video,Canada,224135,47344,43245,29392,High,53.5307,1
Post_824,Instagram,#Viral,Reel,India,947923,487612,46542,10658,Low,57.4743,1
Post_825,Instagram,#Gaming,Reel,Japan,102983,341704,82374,8883,Low,420.4199,1
Post_834,Instagram,#Challenge,Shorts,India,4613593,197157,10941,47136,High,5.5322,0
Post_835,Instagram,#Tech,Shorts,UK,3678203,106484,25338,25691,High,4.2823,0
Post_836,Instagram,#Fitness,Tweet,USA,2609916,421798,69244,20168,High,19.5872,0
Post_837,Instagram,#Music,Video,Canada,636678,43943,48909,41810,Medium,21.1507,0
Post_841,Instagram,#Comedy,Post,Brazil,4754509,424316,30621,18374,Medium,9.955,0
Post_843,Instagram,#Comedy,Reel,USA,3545758,365667,98281,27784,High,13.8682,0
Post_845,Instagram,#Gaming,Tweet,Japan,3481771,299306,45796,27535,Low,10.7025,0
Post_847,Instagram,#Education,Video,India,735190,421586,62738,38778,Low,71.1519,1
Post_848,Instagram,#Challenge,Tweet,Brazil,2635991,187823,29537,46857,Low,10.0234,0
Post_849,Instagram,#Dance,Reel,UK,350307,4331,1623,26850,High,9.3644,0
Post_857,Instagram,#Challenge,Shorts,Japan,75331,386738,46627,6927,Medium,584.4765,1
Post_859,Instagram,#Challenge,Reel,Germany,4483470,117945,55358,30073,High,4.5361,0
Post_861,Instagram,#Dance,Tweet,Canada,224458,277150,61218,38779,Medium,168.0256,1
Post_862,Instagram,#Fitness,Shorts,USA,3139127,70363,97084,127,Low,5.3382,0
Post_866,Instagram,#Tech,Post,India,4363523,488878,8230,3369,Low,11.4696,0
Post_868,Instagram,#Comedy,Video,Australia,2121725,45509,307,8958,Low,2.5816,0
Post_871,Instagram,#Music,Reel,Canada,1949651,348513,25769,15034,Medium,19.9685,0
Post_877,Instagram,#Dance,Reel,Australia,3822658,16287,899,13106,High,0.7924,0
Post_881,Instagram,#Tech,Tweet,Canada,911320,397818,13388,26310,High,48.009,1
Post_893,Instagram,#Tech,Tweet,USA,410444,256366,76964,9098,Medium,83.4287,1
Post_905,Instagram,#Education,Live Stream,Brazil,132001,419371,71316,39401,Medium,401.5788,1
Post_907,Instagram,#Fitness,Live Stream,USA,2309871,288470,79217,46717,High,17.9406,0
Post_909,Instagram,#Education,Video,Canada,3373468,255416,34814,25166,Medium,9.3493,0
Post_917,Instagram,#Comedy,Reel,Canada,454350,156235,70705,24595,Low,55.3615,1
Post_921,Instagram,#Viral,Tweet,Germany,2888239,421574,35987,16821,Medium,16.4246,0
Post_922,Instagram,#Dance,Tweet,Canada,850931,6573,15362,16594,Medium,4.5279,0
Post_924,Instagram,#Dance,Video,India,247234,296015,55319,39566,Low,158.1093,1
Post_929,Instagram,#Fitness,Tweet,USA,1115324,415045,34081,31910,Low,43.1297,1
Post_931,Instagram,#Education,Reel,Japan,4008179,455643,63634,37656,Low,13.8949,0
Post_935,Instagram,#Tech,Reel,Australia,1420653,40254,15175,14173,Medium,4.8993,0
Post_941,Instagram,#Viral,Live Stream,UK,2989338,479456,99198,24250,Medium,20.1685,0
Post_946,Instagram,#Comedy,Video,Japan,3808187,142833,22552,23672,High,4.9645,0
Post_953,Instagram,#Viral,Live Stream,Japan,507910,439117,23000,36313,High,98.1335,1
Post_967,Instagram,#Fitness,Reel,UK,1803252,274745,62197,45341,Medium,21.1996,0
Post_969,Instagram,#Music,Live Stream,Canada,3154913,367384,25852,41170,High,13.7692,0
Post_971,Instagram,#Music,Live Stream,Germany,1907181,338676,59140,30282,Low,22.4466,0
Post_972,Instagram,#Dance,Reel,Australia,483039,282741,24926,37989,Low,71.5586,1
Post_976,Instagram,#Fitness,Shorts,Japan,2533284,189339,96463,9657,Low,11.6631,0
Post_977,Instagram,#Viral,Post,Canada,1444784,440354,41263,32270,Low,35.5684,0
Post_986,Instagram,#Comedy,Video,India,2109687,81944,74586,22335,High,8.4783,0
Post_988,Instagram,#Dance,Live Stream,Australia,2352184,486228,59382,26190,Medium,24.3093,0
Post_996,Instagram,#Tech,Tweet,Germany,2707572,230179,53270,6352,High,10.7034,0
Post_998,Instagram,#Tech,Reel,Brazil,4190005,84964,50369,19038,High,3.6843,0
Post_1002,Instagram,#Comedy,Shorts,UK,3415328,118469,14421,17676,Low,4.4085,0
Post_1003,Instagram,#Fitness,Video,Japan,3458904,231857,64606,40429,Medium,9.7398,0
Post_1006,Instagram,#Education,Tweet,Brazil,2362909,209360,42036,10082,High,11.0659,0
Post_1007,Instagram,#Challenge,Video,Canada,2980875,23957,13444,22622,High,2.0136,0
Post_1010,Instagram,#Music,Live Stream,USA,3284675,375788,31851,4538,High,12.5485,0
Post_1011,Instagram,#Challenge,Reel,USA,1558041,407000,95826,14793,Medium,33.2224,0
Post_1015,Instagram,#Dance,Live Stream,Australia,251154,309987,21850,21949,Low,140.8642,1
Post_1023,Instagram,#Gaming,Tweet,Australia,235741,197273,83423,15114,High,125.4809,1
Post_1029,Instagram,#Tech,Live Stream,USA,4650686,35344,74563,32695,High,3.0663,0
Post_1030,Instagram,#Comedy,Shorts,Germany,473893,391296,16786,34510,Low,93.3949,1
Post_1031,Instagram,#Comedy,Live Stream,India,2350338,117930,10242,49338,Medium,7.5525,0
Post_1034,Instagram,#Education,Tweet,Australia,11338,379782,86100,44273,Medium,4499.5149,1
Post_1035,Instagram,#Gaming,Shorts,Brazil,1878293,135556,66131,1905,High,10.8392,0
Post_1036,Instagram,#Challenge,Reel,India,1939855,270361,16051,48568,Medium,17.2683,0
Post_1042,Instagram,#Comedy,Video,UK,4796296,473059,1016,10919,Medium,10.1118,0
Post_1044,Instagram,#Viral,Video,Japan,4298093,313918,75168,21454,High,9.5517,0
Post_1045,Instagram,#Comedy,Tweet,Japan,2685008,312885,79634,27209,Medium,15.6323,0
Post_1049,Instagram,#Fashion,Tweet,India,454490,367108,6386,33172,Low,89.4774,1
Post_1053,Instagram,#Dance,Shorts,Canada,2414079,453772,12971,44775,Medium,21.189,0
Post_1059,Instagram,#Tech,Live Stream,India,4031260,489680,10003,38423,High,13.3483,0
Post_1065,Instagram,#Gaming,Reel,India,3147828,488798,11213,28108,Low,16.7773,0
Post_1074,Instagram,#Comedy,Post,UK,1263647,322686,75202,21411,High,33.1817,0
Post_1080,Instagram,#Dance,Tweet,USA,4841137,431351,625,19075,Medium,9.317,0
Post_1082,Instagram,#Music,Live Stream,Brazil,1889541,357123,24263,35214,Low,22.0477,0
Post_1083,Instagram,#Fashion,Video,Brazil,353263,473924,71436,3303,High,155.3129,1
Post_1084,Instagram,#Tech,Video,Canada,2385749,319160,12581,37720,Low,15.4862,0
Post_1086,Instagram,#Music,Reel,Germany,4826724,359660,68209,1169,High,8.8888,0
Post_1089,Instagram,#Education,Video,India,2780722,130632,4458,42849,Medium,6.399,0
Post_1093,Instagram,#Dance,Post,Canada,3724442,459724,55807,9912,Medium,14.108,0
Post_1094,Instagram,#Gaming,Tweet,Brazil,4170208,315259,26019,37399,Medium,9.0805,0
Post_1103,Instagram,#Viral,Tweet,Australia,4113719,371010,23116,29531,Low,10.2986,0
Post_1109,Instagram,#Gaming,Post,Canada,4284095,435610,44348,35611,High,12.0345,0
Post_1117,Instagram,#Fitness,Shorts,USA,1513083,352786,90781,29795,Low,31.2846,0
Post_1121,Instagram,#Viral,Tweet,Germany,4746014,29305,89872,16323,Medium,2.855,0
Post_1132,Instagram,#Fitness,Live Stream,UK,2085067,227030,40851,2906,Low,12.987,0
Post_1133,Instagram,#Viral,Live Stream,India,4121250,73511,93273,36056,Medium,4.9218,0
Post_1138,Instagram,#Challenge,Reel,UK,4248915,261493,87021,28833,Medium,8.881,0
Post_1153,Instagram,#Dance,Reel,Canada,2912775,178086,11014,25511,Medium,7.3679,0
Post_1157,Instagram,#Tech,Reel,Canada,4018134,476460,96568,48685,Medium,15.4727,0
Post_1158,Instagram,#Tech,Video,Brazil,1135196,106116,41569,21497,Medium,14.9033,0
Post_1160,Instagram,#Music,Live Stream,Germany,312301,376135,50291,40981,High,149.6655,1
Post_1161,Instagram,#Dance,Shorts,Brazil,2930383,479741,220,33112,Low,17.5087,0
